Packet_Size,Duration,Protocol,Packets_Per_Second,Bytes_Per_Second,Avg_Packet_Size,Unique_IPs_Per_Second,SYN_Count,ACK_Count,RST_Count,FIN_Count,Flow_Duration,Reconstruction_Error,Anomaly_Score,Is_Anomaly,Attack_Type,Attack_Confidence
350,0.8,6,1000000.0,350000000.0,350.0,1,1,0,0,0,0,0.5459371614955032,0.10816864460657953,False,SYN Flood,0.8
420,1.2,17,1.0,420.0,385.0,1,0,0,0,0,0,5.045329042290846,0.999650587265084,False,SYN Flood,0.8
380,0.9,6,1.0,380.0,383.3333333333333,1,0,1,0,0,0,0.6321277648443852,0.12524592272505888,False,SYN Flood,0.8
200,0.4,1,1.0,200.0,337.5,1,0,0,0,0,0,0.15897913829762625,0.03149915250918092,False,SYN Flood,0.8
500,1.0,6,1.0,500.0,370.0,1,1,0,0,0,0,0.5801646061428426,0.11495026080157805,False,SYN Flood,0.8
480,1.1,17,1.0,480.0,388.3333333333333,1,0,0,0,0,0,5.052383115950888,1.001048238204748,True,SYN Flood,0.8
64,0.1,6,1.0,64.0,342.0,10,1,0,0,0,0,0.4788204159600509,0.09487054382317213,False,SYN Flood,0.8
64,0.1,6,1000000.0,64000000.0,307.25,10,1,0,0,0,0,0.43249468176949263,0.08569184665577176,False,SYN Flood,0.8
64,0.1,6,1000000.0,64000000.0,280.22222222222223,10,1,0,0,0,0,0.4305485205774629,0.08530624619994069,False,SYN Flood,0.8
64,0.1,6,1000000.0,64000000.0,258.6,10,1,0,0,0,0,0.42993758397420784,0.08518519896414964,False,SYN Flood,0.8
64,0.1,6,1000000.0,64000000.0,230.0,10,1,0,0,0,0,0.43042189073903575,0.08528115653952649,False,SYN Flood,0.8
64,0.1,6,1000000.0,64000000.0,194.4,10,1,0,0,0,0,0.43308227553937223,0.0858082688855629,False,SYN Flood,0.8
64,0.1,6,1000000.0,64000000.0,162.8,10,1,0,0,0,0,0.4373564919531583,0.08665513594067953,False,SYN Flood,0.8
64,0.1,6,1000000.0,64000000.0,149.2,10,1,0,0,0,0,0.4397499683769665,0.08712936469615008,False,SYN Flood,0.8
64,0.1,6,1000000.0,64000000.0,105.6,10,1,0,0,0,0,0.449671514741149,0.08909515911042865,False,SYN Flood,0.8
64,0.1,6,1000000.0,64000000.0,64.0,10,1,0,0,0,0,0.4619671049979061,0.09153133203748856,False,SYN Flood,0.8
