Packet_Size,Duration,Protocol,Packets_Per_Second,Bytes_Per_Second,Avg_Packet_Size,Unique_IPs_Per_Second,SYN_Count,ACK_Count,RST_Count,FIN_Count,Flow_Duration,Reconstruction_Error,Anomaly_Score,Is_Anomaly,Attack_Type,Attack_Confidence
350,0.8,6,1000000.0,350000000.0,350.0,1,1,0,0,0,0,0.5498060342939516,0.10504522494179665,False,SYN Flood,0.8
420,1.2,17,1.0,420.0,385.0,1,0,0,0,0,0,5.238778190420635,1.000914139001053,True,SYN Flood,0.8
380,0.9,6,1.0,380.0,383.3333333333333,1,0,1,0,0,0,0.6444935880489471,0.1231361056578568,False,SYN Flood,0.8
200,0.4,1,1.0,200.0,337.5,1,0,0,0,0,0,0.16116675848120765,0.03079231100025945,False,SYN Flood,0.8
500,1.0,6,1.0,500.0,370.0,1,1,0,0,0,0,0.6140112766792326,0.1173121949423451,False,SYN Flood,0.8
480,1.1,17,1.0,480.0,388.3333333333333,1,0,0,0,0,0,5.232398726854781,0.999695286999649,False,SYN Flood,0.8
64,0.1,6,1.0,64.0,342.0,10,1,0,0,0,0,0.6233590735763596,0.11909817284458823,False,SYN Flood,0.8
64,0.1,6,1000000.0,64000000.0,307.25,10,1,0,0,0,0,0.564142899360846,0.10778440771167314,False,SYN Flood,0.8
64,0.1,6,1000000.0,64000000.0,280.22222222222223,10,1,0,0,0,0,0.5617831563072402,0.10733355827676434,False,SYN Flood,0.8
64,0.1,6,1000000.0,64000000.0,258.6,10,1,0,0,0,0,0.560750068273891,0.10713617782242428,False,SYN Flood,0.8
64,0.1,6,1000000.0,64000000.0,230.0,10,1,0,0,0,0,0.5605506763484629,0.10709808226080487,False,SYN Flood,0.8
64,0.1,6,1000000.0,64000000.0,194.4,10,1,0,0,0,0,0.5619944029151746,0.10737391877858597,False,SYN Flood,0.8
64,0.1,6,1000000.0,64000000.0,162.8,10,1,0,0,0,0,0.5650155412450505,0.10795113353369436,False,SYN Flood,0.8
64,0.1,6,1000000.0,64000000.0,149.2,10,1,0,0,0,0,0.5668228788728471,0.10829644110730342,False,SYN Flood,0.8
64,0.1,6,1000000.0,64000000.0,105.6,10,1,0,0,0,0,0.5746741925888661,0.10979650288171983,False,SYN Flood,0.8
64,0.1,6,1000000.0,64000000.0,64.0,10,1,0,0,0,0,0.5850888503789875,0.11178631383688703,False,SYN Flood,0.8
